"id","youth","ethnicity","village","item","item_name","item_index","y"
"59789",2,2,"Mankanza",69,"bread_lg",2,2
"59789",2,2,"Mankanza",48,"mangbele_sm",7,3
"59789",2,2,"Mankanza",63,"cash_lg",6,1
"59789",2,2,"Mankanza",53,"duiker_sm",11,1
"59789",2,2,"Mankanza",65,"cube_sm",15,2
"59789",2,2,"Mankanza",51,"honey_lg",10,1
"59789",2,2,"Mankanza",57,"biscuit_lg",18,1
"59789",2,2,"Mankanza",59,"sardines_sm",3,1
"59789",2,2,"Mankanza",60,"sardines_lg",4,1
"59789",2,2,"Mankanza",68,"bread_sm",1,1
"59789",2,2,"Mankanza",10,"fish_sm",13,1
"59789",2,2,"Mankanza",20,"honey_sm",9,1
"59789",2,2,"Mankanza",66,"cube_lg",16,1
"59789",2,2,"Mankanza",62,"cash_sm",5,1
"59789",2,2,"Mankanza",49,"mangbele_lg",8,1
"59789",2,2,"Mankanza",54,"duiker_lg",12,1
"11806",2,2,"Mankanza",63,"cash_lg",6,2
"11806",2,2,"Mankanza",68,"bread_sm",1,1
"11806",2,2,"Mankanza",69,"bread_lg",2,2
"11806",2,2,"Mankanza",57,"biscuit_lg",18,1
"11806",2,2,"Mankanza",19,"biscuit_sm",17,3
"11806",2,2,"Mankanza",55,"fish_lg",14,2
"11806",2,2,"Mankanza",10,"fish_sm",13,2
"11806",2,2,"Mankanza",59,"sardines_sm",3,2
"11806",2,2,"Mankanza",20,"honey_sm",9,1
"11806",2,2,"Mankanza",60,"sardines_lg",4,2
"11806",2,2,"Mankanza",53,"duiker_sm",11,2
"11806",2,2,"Mankanza",65,"cube_sm",15,2
"11806",2,2,"Mankanza",62,"cash_sm",5,1
"11806",2,2,"Mankanza",66,"cube_lg",16,2
"11806",2,2,"Mankanza",49,"mangbele_lg",8,1
"11806",2,2,"Mankanza",54,"duiker_lg",12,2
"11806",2,2,"Mankanza",51,"honey_lg",10,1
"11806",2,2,"Mankanza",48,"mangbele_sm",7,3
"02736",2,2,"Mankanza",68,"bread_sm",1,2
"02736",2,2,"Mankanza",20,"honey_sm",9,1
"02736",2,2,"Mankanza",66,"cube_lg",16,1
"02736",2,2,"Mankanza",62,"cash_sm",5,2
"02736",2,2,"Mankanza",54,"duiker_lg",12,1
"02736",2,2,"Mankanza",19,"biscuit_sm",17,2
"02736",2,2,"Mankanza",55,"fish_lg",14,1
"02736",2,2,"Mankanza",69,"bread_lg",2,2
"02736",2,2,"Mankanza",48,"mangbele_sm",7,2
"02736",2,2,"Mankanza",63,"cash_lg",6,2
"02736",2,2,"Mankanza",59,"sardines_sm",3,1
"02736",2,2,"Mankanza",49,"mangbele_lg",8,3
"02736",2,2,"Mankanza",60,"sardines_lg",4,2
"02736",2,2,"Mankanza",53,"duiker_sm",11,1
"02736",2,2,"Mankanza",65,"cube_sm",15,2
"02736",2,2,"Mankanza",51,"honey_lg",10,1
"02736",2,2,"Mankanza",57,"biscuit_lg",18,3
"02736",2,2,"Mankanza",10,"fish_sm",13,2
"07702",2,1,"Mankanza",57,"biscuit_lg",18,1
"07702",2,1,"Mankanza",51,"honey_lg",10,1
"07702",2,1,"Mankanza",65,"cube_sm",15,2
"07702",2,1,"Mankanza",53,"duiker_sm",11,2
"07702",2,1,"Mankanza",60,"sardines_lg",4,1
"07702",2,1,"Mankanza",49,"mangbele_lg",8,1
"07702",2,1,"Mankanza",59,"sardines_sm",3,2
"07702",2,1,"Mankanza",63,"cash_lg",6,3
"07702",2,1,"Mankanza",10,"fish_sm",13,2
"07702",2,1,"Mankanza",48,"mangbele_sm",7,2
"07702",2,1,"Mankanza",69,"bread_lg",2,2
"07702",2,1,"Mankanza",55,"fish_lg",14,1
"07702",2,1,"Mankanza",19,"biscuit_sm",17,3
"07702",2,1,"Mankanza",54,"duiker_lg",12,1
"07702",2,1,"Mankanza",62,"cash_sm",5,2
"07702",2,1,"Mankanza",66,"cube_lg",16,1
"07702",2,1,"Mankanza",20,"honey_sm",9,1
"07702",2,1,"Mankanza",68,"bread_sm",1,2
"20904",2,2,"Mankanza",59,"sardines_sm",3,2
"20904",2,2,"Mankanza",48,"mangbele_sm",7,2
"20904",2,2,"Mankanza",69,"bread_lg",2,1
"20904",2,2,"Mankanza",68,"bread_sm",1,2
"20904",2,2,"Mankanza",51,"honey_lg",10,2
"20904",2,2,"Mankanza",65,"cube_sm",15,2
"20904",2,2,"Mankanza",62,"cash_sm",5,2
"20904",2,2,"Mankanza",49,"mangbele_lg",8,2
"20904",2,2,"Mankanza",54,"duiker_lg",12,1
"20904",2,2,"Mankanza",55,"fish_lg",14,2
"20904",2,2,"Mankanza",19,"biscuit_sm",17,2
"20904",2,2,"Mankanza",66,"cube_lg",16,2
"20904",2,2,"Mankanza",20,"honey_sm",9,1
"20904",2,2,"Mankanza",63,"cash_lg",6,2
"20904",2,2,"Mankanza",60,"sardines_lg",4,1
"20904",2,2,"Mankanza",57,"biscuit_lg",18,2
"20904",2,2,"Mankanza",53,"duiker_sm",11,1
"20904",2,2,"Mankanza",10,"fish_sm",13,2
"54879",2,2,"Mankanza",68,"bread_sm",1,3
"54879",2,2,"Mankanza",20,"honey_sm",9,2
"54879",2,2,"Mankanza",66,"cube_lg",16,2
"54879",2,2,"Mankanza",62,"cash_sm",5,2
"54879",2,2,"Mankanza",54,"duiker_lg",12,2
"54879",2,2,"Mankanza",19,"biscuit_sm",17,3
"54879",2,2,"Mankanza",55,"fish_lg",14,2
"54879",2,2,"Mankanza",69,"bread_lg",2,2
"54879",2,2,"Mankanza",48,"mangbele_sm",7,2
"54879",2,2,"Mankanza",10,"fish_sm",13,3
"54879",2,2,"Mankanza",63,"cash_lg",6,3
"54879",2,2,"Mankanza",59,"sardines_sm",3,3
"54879",2,2,"Mankanza",49,"mangbele_lg",8,2
"54879",2,2,"Mankanza",60,"sardines_lg",4,2
"54879",2,2,"Mankanza",53,"duiker_sm",11,2
"54879",2,2,"Mankanza",65,"cube_sm",15,2
"54879",2,2,"Mankanza",51,"honey_lg",10,1
"54879",2,2,"Mankanza",57,"biscuit_lg",18,1
"56957",2,2,"Mankanza",57,"biscuit_lg",18,1
"56957",2,2,"Mankanza",49,"mangbele_lg",8,2
"56957",2,2,"Mankanza",51,"honey_lg",10,1
"56957",2,2,"Mankanza",65,"cube_sm",15,2
"56957",2,2,"Mankanza",53,"duiker_sm",11,1
"56957",2,2,"Mankanza",63,"cash_lg",6,1
"56957",2,2,"Mankanza",48,"mangbele_sm",7,1
"56957",2,2,"Mankanza",69,"bread_lg",2,1
"56957",2,2,"Mankanza",55,"fish_lg",14,1
"56957",2,2,"Mankanza",19,"biscuit_sm",17,2
"56957",2,2,"Mankanza",54,"duiker_lg",12,1
"56957",2,2,"Mankanza",62,"cash_sm",5,2
"56957",2,2,"Mankanza",66,"cube_lg",16,1
"56957",2,2,"Mankanza",20,"honey_sm",9,1
"56957",2,2,"Mankanza",10,"fish_sm",13,2
"56957",2,2,"Mankanza",68,"bread_sm",1,2
"56957",2,2,"Mankanza",60,"sardines_lg",4,1
"56957",2,2,"Mankanza",59,"sardines_sm",3,1
"09943",2,2,"Mankanza",53,"duiker_sm",11,2
"09943",2,2,"Mankanza",54,"duiker_lg",12,1
"09943",2,2,"Mankanza",10,"fish_sm",13,2
"09943",2,2,"Mankanza",57,"biscuit_lg",18,2
"09943",2,2,"Mankanza",68,"bread_sm",1,2
"09943",2,2,"Mankanza",60,"sardines_lg",4,2
"09943",2,2,"Mankanza",59,"sardines_sm",3,3
"09943",2,2,"Mankanza",63,"cash_lg",6,1
"09943",2,2,"Mankanza",69,"bread_lg",2,2
"09943",2,2,"Mankanza",66,"cube_lg",16,2
"09943",2,2,"Mankanza",55,"fish_lg",14,2
"09943",2,2,"Mankanza",49,"mangbele_lg",8,2
"09943",2,2,"Mankanza",20,"honey_sm",9,2
"09943",2,2,"Mankanza",62,"cash_sm",5,3
"09943",2,2,"Mankanza",65,"cube_sm",15,3
"09943",2,2,"Mankanza",48,"mangbele_sm",7,2
"09943",2,2,"Mankanza",51,"honey_lg",10,2
"09943",2,2,"Mankanza",19,"biscuit_sm",17,3
"89016",2,2,"Mankanza",59,"sardines_sm",3,1
"89016",2,2,"Mankanza",60,"sardines_lg",4,2
"89016",2,2,"Mankanza",68,"bread_sm",1,1
"89016",2,2,"Mankanza",10,"fish_sm",13,2
"89016",2,2,"Mankanza",20,"honey_sm",9,1
"89016",2,2,"Mankanza",66,"cube_lg",16,1
"89016",2,2,"Mankanza",62,"cash_sm",5,1
"89016",2,2,"Mankanza",54,"duiker_lg",12,2
"89016",2,2,"Mankanza",19,"biscuit_sm",17,NA
"89016",2,2,"Mankanza",55,"fish_lg",14,1
"89016",2,2,"Mankanza",69,"bread_lg",2,2
"89016",2,2,"Mankanza",48,"mangbele_sm",7,2
"89016",2,2,"Mankanza",63,"cash_lg",6,2
"89016",2,2,"Mankanza",53,"duiker_sm",11,1
"89016",2,2,"Mankanza",65,"cube_sm",15,1
"89016",2,2,"Mankanza",51,"honey_lg",10,1
"89016",2,2,"Mankanza",49,"mangbele_lg",8,1
"89016",2,2,"Mankanza",57,"biscuit_lg",18,1
"82744",2,2,"Mankanza",57,"biscuit_lg",18,1
"82744",2,2,"Mankanza",59,"sardines_sm",3,3
"82744",2,2,"Mankanza",60,"sardines_lg",4,1
"82744",2,2,"Mankanza",68,"bread_sm",1,2
"82744",2,2,"Mankanza",10,"fish_sm",13,2
"82744",2,2,"Mankanza",20,"honey_sm",9,1
"82744",2,2,"Mankanza",66,"cube_lg",16,1
