"id","youth","ethnicity","village","item","item_name","item_num","y"
"94316",2,2,"Mankanza",7,"mangbele_sm",48,2
"94316",2,2,"Mankanza",6,"cash_lg",63,2
"94316",2,2,"Mankanza",3,"sardines_sm",59,1
"94316",2,2,"Mankanza",8,"mangbele_lg",49,3
"94316",2,2,"Mankanza",4,"sardines_lg",60,2
"94316",2,2,"Mankanza",11,"duiker_sm",53,1
"94316",2,2,"Mankanza",15,"cube_sm",65,2
"94316",2,2,"Mankanza",10,"honey_lg",51,1
"94316",2,2,"Mankanza",18,"biscuit_lg",57,3
"94316",2,2,"Mankanza",13,"fish_sm",10,2
"38360",2,1,"Mankanza",18,"biscuit_lg",57,1
"38360",2,1,"Mankanza",10,"honey_lg",51,1
"38360",2,1,"Mankanza",15,"cube_sm",65,2
"38360",2,1,"Mankanza",11,"duiker_sm",53,2
"38360",2,1,"Mankanza",4,"sardines_lg",60,1
"38360",2,1,"Mankanza",8,"mangbele_lg",49,1
"38360",2,1,"Mankanza",3,"sardines_sm",59,2
"38360",2,1,"Mankanza",6,"cash_lg",63,3
"38360",2,1,"Mankanza",13,"fish_sm",10,2
"38360",2,1,"Mankanza",7,"mangbele_sm",48,2
"38360",2,1,"Mankanza",2,"bread_lg",69,2
"38360",2,1,"Mankanza",14,"fish_lg",55,1
"38360",2,1,"Mankanza",17,"biscuit_sm",19,3
"38360",2,1,"Mankanza",12,"duiker_lg",54,1
"38360",2,1,"Mankanza",5,"cash_sm",62,2
"38360",2,1,"Mankanza",16,"cube_lg",66,1
"38360",2,1,"Mankanza",9,"honey_sm",20,1
"38360",2,1,"Mankanza",1,"bread_sm",68,2
"06984",2,2,"Mankanza",3,"sardines_sm",59,2
"06984",2,2,"Mankanza",7,"mangbele_sm",48,2
"06984",2,2,"Mankanza",2,"bread_lg",69,1
"06984",2,2,"Mankanza",1,"bread_sm",68,2
"06984",2,2,"Mankanza",10,"honey_lg",51,2
"06984",2,2,"Mankanza",15,"cube_sm",65,2
"06984",2,2,"Mankanza",5,"cash_sm",62,2
"06984",2,2,"Mankanza",8,"mangbele_lg",49,2
"06984",2,2,"Mankanza",12,"duiker_lg",54,1
"06984",2,2,"Mankanza",14,"fish_lg",55,2
"06984",2,2,"Mankanza",17,"biscuit_sm",19,2
"06984",2,2,"Mankanza",16,"cube_lg",66,2
"06984",2,2,"Mankanza",9,"honey_sm",20,1
"06984",2,2,"Mankanza",6,"cash_lg",63,2
"06984",2,2,"Mankanza",4,"sardines_lg",60,1
"06984",2,2,"Mankanza",18,"biscuit_lg",57,2
"06984",2,2,"Mankanza",11,"duiker_sm",53,1
"06984",2,2,"Mankanza",13,"fish_sm",10,2
"23923",2,2,"Mankanza",1,"bread_sm",68,3
"23923",2,2,"Mankanza",9,"honey_sm",20,2
"23923",2,2,"Mankanza",16,"cube_lg",66,2
"23923",2,2,"Mankanza",5,"cash_sm",62,2
"23923",2,2,"Mankanza",12,"duiker_lg",54,2
"23923",2,2,"Mankanza",17,"biscuit_sm",19,3
"23923",2,2,"Mankanza",14,"fish_lg",55,2
"23923",2,2,"Mankanza",2,"bread_lg",69,2
"23923",2,2,"Mankanza",7,"mangbele_sm",48,2
"23923",2,2,"Mankanza",13,"fish_sm",10,3
"23923",2,2,"Mankanza",6,"cash_lg",63,3
"23923",2,2,"Mankanza",3,"sardines_sm",59,3
"23923",2,2,"Mankanza",8,"mangbele_lg",49,2
"23923",2,2,"Mankanza",4,"sardines_lg",60,2
"23923",2,2,"Mankanza",11,"duiker_sm",53,2
"23923",2,2,"Mankanza",15,"cube_sm",65,2
"23923",2,2,"Mankanza",10,"honey_lg",51,1
"23923",2,2,"Mankanza",18,"biscuit_lg",57,1
"84529",2,2,"Mankanza",18,"biscuit_lg",57,1
"84529",2,2,"Mankanza",8,"mangbele_lg",49,2
"84529",2,2,"Mankanza",10,"honey_lg",51,1
"84529",2,2,"Mankanza",15,"cube_sm",65,2
"84529",2,2,"Mankanza",11,"duiker_sm",53,1
"84529",2,2,"Mankanza",6,"cash_lg",63,1
"84529",2,2,"Mankanza",7,"mangbele_sm",48,1
"84529",2,2,"Mankanza",2,"bread_lg",69,1
